Тип жилья,общая площадь,цена в рублях,ближайшее метро,расстояние до метро,жилая площадь,высота потолков,этаж
квартира,52.60,4 150 тыс. руб,Проспект Ветеранов,17.3 км,27.40,2.50,2/5
квартира,50.50,4 150 тыс. руб,Проспект Ветеранов,22.7 км,28.70,Не известно,1/5
квартира,40.70,4 200 тыс. руб,Проспект Ветеранов,17.9 км,15.10,2.70,2/5
квартира,35.60,4 200 тыс. руб,Автово,17.8 км,17.10,2.88,1/5
квартира,42.10,4 200 тыс. руб,Автово,22.5 км,18.70,2.57,2/6
квартира,35.60,4 200 тыс. руб,Проспект Ветеранов,17.4 км,17.10,2.90,1/5
квартира,51.00,4 280 тыс. руб,Проспект Ветеранов,21.9 км,28.60,2.65,1/7
квартира,54.30,4 290 тыс. руб,Ленинский  проспект,23 км,31.60,2.56,4/5
квартира,57.00,4 300 тыс. руб,Ленинский  проспект,20.8 км,43.00,2.52,5/5
квартира,39.20,4 300 тыс. руб,Ленинский  проспект,20 км,18.00,2.52,2/5
квартира,55.00,4 300 тыс. руб,Автово,19.9 км,37.90,2.55,1/5
квартира,50.47,4 300 тыс. руб,Автово,22.4 км,29.00,2.50,1/9
квартира,46.90,4 400 тыс. руб,Проспект Ветеранов,22.2 км,19.50,2.80,5/5
квартира,53.90,4 450 тыс. руб,Ленинский  проспект,17.9 км,31.40,2.88,1/5
квартира,37.00,4 500 тыс. руб,Проспект Ветеранов,21.9 км,18.00,Не известно,7/9
квартира,36.80,4 500 тыс. руб,Проспект Ветеранов,21.9 км,17.80,2.54,7/9
квартира,36.80,4 500 тыс. руб,Автово,22 км,18.00,Не известно,7/9
квартира,51.00,4 500 тыс. руб,Ленинский  проспект,23.1 км,30.00,Не известно,3/7
квартира,54.50,4 550 тыс. руб,Автово,22 км,30.90,Не известно,1/9
квартира,63.00,4 550 тыс. руб,Автово,20.6 км,42.50,3.00,1/2
квартира,43.20,4 590 тыс. руб,Автово,20.3 км,23.00,2.60,3/5
квартира,51.10,4 600 тыс. руб,Ленинский  проспект,20.8 км,30.50,2.50,1/5
квартира,57.00,4 600 тыс. руб,Автово,22.5 км,32.00,Не известно,7/9
квартира,50.00,4 600 тыс. руб,Проспект Ветеранов,22.2 км,28.70,2.55,1/9
квартира,51.10,4 650 тыс. руб,Ленинский  проспект,20.8 км,30.50,2.70,1/5
квартира,52.00,4 700 тыс. руб,Автово,17.8 км,30.53,2.75,4/5
квартира,51.00,4 740 тыс. руб,Ленинский  проспект,23.1 км,31.00,Не известно,4/5
квартира,64.00,4 750 тыс. руб,Ленинский  проспект,17.9 км,36.80,2.75,5/5
квартира,64.44,4 770 тыс. руб,Ленинский  проспект,22.8 км,27.13,3.20,1/2
квартира,64.89,4 795 тыс. руб,Ленинский  проспект,22.8 км,27.03,3.20,1/2
квартира,48.70,4 830 тыс. руб,Ленинский  проспект,18.8 км,19.10,Не известно,3/4
квартира,52.00,4 890 тыс. руб,Автово,19.8 км,30.00,2.60,1/5
квартира,56.00,4 890 тыс. руб,Проспект Ветеранов,22.7 км,39.00,Не известно,1/5
квартира,56.00,4 890 тыс. руб,Автово,22.9 км,39.00,Не известно,3/7
квартира,57.00,4 930 тыс. руб,Автово,19.8 км,42.40,Не известно,4/5
квартира,37.10,5 000 тыс. руб,Автово,20.4 км,18.00,2.75,1/4
квартира,50.70,5 000 тыс. руб,Проспект Ветеранов,19.5 км,31.30,Не известно,3/5
квартира,67.70,5 099 тыс. руб,Беговая,20.2 км,41.20,2.75,3/5
квартира,50.70,5 100 тыс. руб,Ленинский  проспект,22.6 км,38.70,2.51,7/9
квартира,54.00,5 150 тыс. руб,Проспект Ветеранов,17.1 км,33.00,2.75,5/5
квартира,59.60,5 200 тыс. руб,Ленинский  проспект,22.9 км,33.80,2.50,1/6
квартира,52.00,5 240 тыс. руб,Балтийская,20.7 км,29.60,Не известно,2/5
квартира,64.44,5 250 тыс. руб,Проспект Ветеранов,22.3 км,27.13,3.20,2/2
квартира,55.30,5 250 тыс. руб,Проспект Ветеранов,22.6 км,29.40,Не известно,3/6
квартира,55.00,5 300 тыс. руб,Ленинский  проспект,23.1 км,31.00,2.55,5/9
квартира,55.40,5 450 тыс. руб,Автово,19 км,37.50,2.70,1/3
квартира,76.00,5 500 тыс. руб,Автово,18.8 км,47.00,3.60,1/2
квартира,77.50,5 550 тыс. руб,Проспект Ветеранов,17.2 км,49.10,3.10,1/4
квартира,55.00,5 600 тыс. руб,Беговая,20.8 км,36.00,2.55,2/4
